#,Player,Position,Team,DOB,Age,Prev. Rank, +/- Change,Notes/Outlook (Updated 7/10/2026)
316,Mohamed Diawara,SF/PF,NYK,2005-04-29,21.24931507,NEW,NEW,"Diawara has impressed me in his flashes this year. He's on a deep team and minutes may be tough to come by, but I like him as a long-term stash."
317,Marvin Bagley III,PF/C,DAL -> DEN,1999-03-14,27.37534247,318,1,Bagley's been playing some decent ball recently in Washington and Dallas. He'll be tasked with backing up Nikola Jokic this year.
318,Jaylin Williams,PF/C,OKC,2002-06-29,24.08219178,280,-38,"JWill probably deserves to be higher than this because he's legitimately solid as a rotation piece, but it's hard to trust he has a role of much size at all."
319,Cody Williams,SG/SF,UTA,2004-11-20,21.68735684,256,-63,"I still don't know what Cody Williams is supposed to be, but I think the growth we've seen is notable. I'm giving him a chance on a 3rd year breakout despite the drop."
320,Luke Kornet,C,SAS,1995-07-15,31.03835616,250,-70,"Kornet has shown some stuff for fantasy, but the fact that San Antonio drafted two centers in the first round speaks volumes about his future here."
321,Caleb Love,SG,POR -> PHI,2001-09-27,24.83561644,337,16,Caleb Love burst onto the scene early for Portland with some great scoring stretches. Doesn't do much other than chuck up shots.
322,Leonard Miller,SF/PF,CHI,2003-11-26,22.67123288,254,-68,"I'm very skeptical of all this, but Leonard Miller has been showing some real signs of life in Chicago. Will be keeping an eye on this in the offseason."
323,Isaiah Jackson,PF/C,LAC,2002-01-10,24.54794521,301,-22,"I don't buy IJax much as an NBA player still. Still, with YKN out indefinitely, he could snag a short-term role."
324,Vit Krejci,PG/SG/SF,POR,2000-06-19,26.10812187,309,-15,"Following the Ja trade, Krejci is very quietly a winner. The Blazers have lackluster wing/forward depth. Keep an eye here for deep leagues."
325,Will Richard,SG/SF,GSW,2002-12-24,22.8,274,-51,"Richard has proven to be a notable role player for Golden State. The minutes are always going to be screwy, but maybe there's more of a chance this year."
326,Grant Williams,SF/PF,CHA,1998-11-30,27.66027397,352,26,"Grant Williams tore his ACL this past year and is expected to make a full recovery. He's not a priority piece, but he might play more than we think this year."
327,Goga Bitadze,C,ORL,1999-07-20,27.02465753,246,-81,"Goga continues to flash on occasion, but I don't think he'll ever fully put it all together unless some desparate team swipes him up this summer."
328,Patrick Williams,SF/PF,CHI,2001-08-26,24.92328767,338,10,There's a very compelling case that Patrick Williams is one of the worst players in the NBA right now.
329,Jordan Goodwin,PG/SG,PHO,1998-10-23,27.76438356,347,18,Goodwin has had some nice moments over the year and continues to look interesting for a deep bench guy.
330,Moritz Wagner,PF/C,ORL -> BKN,1997-04-26,29.25753425,388,58,Mo Wagner returns from his ACL injury to play a backup role in Brooklyn. He'll definitely get some run in the short term.
331,Moussa Cisse,C,FA,2002-09-10,23.88219178,308,-23,I'm keeping a close eye on Cisse moving forward. Really intriguing advanced numbers. Could be a great player hiding in plain sight.
332,Liam McNeeley,SG/SF,CHA,2005-10-15,20.78630137,272,-60,"McNeeley hasn't popped much yet, but he's shown a little in Charlotte that suggest more could come when he gets a consistent role."
333,Gradey Dick,SG/SF,TOR -> LAC,2003-11-20,22.68767123,323,-10,Gradey Dick struggled for Toronto and now gets a clean slate with the Clippers. This is has chance to find a role and salvage his career.
334,Kevin Huerter,SG/SF,DET,1998-08-27,27.92054795,268,-66,I don't really know why Trajan Langdon gave Kevin Huerter that contract. Hopefully he has a little juice left.
335,Ben Saraf,PG/SG,BKN,2006-04-14,20.29041096,296,-39,"I'm not overwhelmingly confident that Ben Saraf will evolve into a good shooter, or a clearcut NHA player long term, but there is some appeal as a big guard."
336,Russell Westbrook,PG/SG,SAC -> FA,1988-11-12,37.70921476,225,-111,"Russ went from almost being done as an NBA player to being the starter in Sacramento. It is Sacramento, but he does look revitalized on a bad team like this."
337,2.09 / Ugonna Onyenso,C,DET,2004-09-25,21.8403623,NEW,NEW,"With a lot of questions about centers in Detroit, there is a real chance Ugonna Oyenso takes up a solid role as a backup."
338,Karlo Matkovic,PF/C,NOP,2001-03-30,25.33150685,313,-25,Karlo has some interesting appeal as a floor spacer that can block shots. There's just a lot of big men in New Orleans and his opportunities are not all there.
339,Ron Harper Jr.,SG,BOS,2000-04-12,26.29391422,381,42,Ron Harper Jr. has had some nice flashes for Boston. I'm not sure if he's much of a long-term NBA player but I'm keeping an eye on him.
340,Steven Adams,C,HOU,1993-07-20,33.02465753,366,26,Adams was badly missed this season and in the playoffs during Sengun's lowlights. He'll maintain a key role when healthy for '26-'27.
341,Drake Powell,SG/SF,BKN,2005-09-08,20.88767123,285,-56,"Powell still has a lot of potential as a 3&D wing with Brooklyn, but he hasn't showed much to date. "
342,2.10 / Braden Smith,PG,IND,2003-07-25,23.0109589,NEW,NEW,"In theory, Braden Smith is a perfect fit for Indiana and could find something here. The issue is that Indiana's guard depth is completely full."
343,Bruce Brown,PG/SG/SF,DEN -> FA,1996-08-15,29.95238416,279,-64,"Brown has not been as good as I'd hoped returning to Denver, but he's at least playing a role again and might earn more burn as the year goes on."
344,Brandon Williams,PG/SG,DAL -> FA,1999-11-12,26.70958904,227,-117,I still believe there could be something there for Brandon Williams despite finishing below the top 250 in 9Cat on the year.
345,Brook Lopez,C,LAC,1988-04-01,38.32396886,363,18,"Brook Lopez is almost done in the NBA, but he's still got some juice and will play a decent chunk of minutes with YKN still recovering from his Lisfranc injury."
346,Keon Ellis,SG/SF,CLE -> BKN,2000-01-08,26.55347706,231,-115,Ellis was very disappointing this past year in Sacramento and Cleveland. We'll see what kind of year he has for Brooklyn. 
347,Khris Middleton,SF/PF,DAL -> WAS,1991-08-12,34.96164384,341,-6,Middleton is reaching the end of his career and was dumped to Dallas in the AD trade. He re-signed in Washington to keep mentoring their youngsters.
348,Kentavious Caldwell-Pope,SG/SF,MEM,1993-02-18,33.44109589,342,-6,KCP is likely to be bought out or make some agreement with MEM to find a new team. Could he return to being a decent role player?
349,Justin Edwards,SG/SF,PHI,2003-12-16,22.61643836,291,-58,Edwards could see a bump during the season with the 76ers' lackluster depth. He's occasionally shown flashes but I don't see a consistent role player here.
350,Julian Strawther,SG/SF,DEN,2002-04-18,24.27945205,344,-6,"Strawther's fantasy game is pretty weak, but he can shoot and could see marginal opportunities if Peyton Watson goes elsewhere."
351,Dorian Finney-Smith,SF/PF,HOU -> CHA,1993-05-04,33.23561644,382,31,DFS lives! He was in a rough situation with injuries and a contract that aged like milk immediately. Could he bounce back this year in Charlotte?
352,Jordan Hawkins,SG/SF,NOP,2002-04-29,24.24931507,360,8,Hawkins is mostly just a 3PT specialist and nothing more. He's mainly just a rotation piece at this point.
353,Isaac Okoro,SG/SF,CHI,2001-01-26,25.50410959,336,-17,Okoro is what he is at this stage in his career. Chicago will use him some but don't expect anything for fantasy.
354,Bogdan Bogdanovic,SG/SF,LAC -> HOU,1992-08-18,33.94418744,334,-20,It wasn't long ago that Bogdan was still a good player. Could he return to form here in Houston?
355,Harrison Barnes,SF/PF,SAS,1992-05-30,34.16276667,311,-44,Barnes still has some juice even in San Antonio. We know what he is as a boring forward who can pop on occasion.
356,Luka Garza,PF/C,BOS,1998-12-27,27.58630137,297,-59,"As always with Luka Garza, he's got some juice on offense, but he continues to have issues on defense that make him a liability."
357,Kevon Looney,PF/C,NOP -> LAL,1996-02-06,30.47424208,403,46,Kevon Looney is seemingly pretty washed after last year in New Orleans. Not loving him as the primary backup at center if the Knicks lose MitchRob.
358,Johnny Furphy,SG/SF,IND,2004-12-08,21.63817651,315,-43,Furphy tore his ACL in late February. There is still some upside here but missing much-needed development time is going to hurt.
359,Bones Hyland,PG/SG,MIN,2000-09-14,25.87041695,269,-90,Bones Hyland revived his career with Minnesota after nearly falling out of the NBA. The team feels a bit too deep at guard for him to make much sense.
360,Tarik Biberovic,SG/SF,MEM -> DAL,2001-01-28,25.49863014,NEW,NEW,"Tarik has been long rumored to want to make the NBA jump, and here he comes on a two-year deal in Dallas. 3PT shooting is the name of the game."
361,Tristan Vukcevic,PF/C,WAS,2003-03-11,23.38356164,295,-66,"As usual, Vukcevic continues to tease good fantasy play here and there. He may not ever be a full-time NBA player."
362,Jeremy Sochan,SF/PF,NYK,2003-05-20,23.19178082,275,-87,"Sochan was waived by San Antonio and picked up by New York. He'll have to hope someone takes a cheap flier on him this summer, but it's not looking good."
363,Tyler Kolek,PG/SG,NYK,2001-03-27,25.33972603,340,-23,"In the Pantheon of quirked up white boys, Kolek is decently up there in the NBA section. To date though, he's yet to earn a consistent role with the Knicks."
364,Jaylen Clark,SG/SF,MIN,2001-10-13,24.79178082,351,-13,"Despite playing on lesser minutes, Clark is a legitimately great defender. Could he secure a bigger role this next year?"
365,Amari Williams,C,BOS,2002-01-28,24.49863014,321,-44,"Amari Williams has some real potential here in Boston with MitchRob's injury issues. Good passer, could be a serious diamond in the rough."
366,Craig Porter Jr.,PG/SG,CLE,2000-02-26,26.41959728,312,-54,CPJ is actually one of the more interesting role players out there that could be a hit if Cleveland's bench wasn't so deep. Worth a watch to see what happens.
367,Caris LeVert,SG/SF,DET -> MIL,1994-08-25,31.9260274,328,-39,Caris LeVert has been awful for a while and I'm guessing his NBA career is nearing its end after his current contract.
368,Tyrese Proctor,PG/SG,CLE,2004-04-01,22.32396886,326,-42,Proctor is waiting behind Craig Porter Jr. for NBA minutes. Likely won't happen for him this year unless there's injuries. 
369,Landry Shamet,SG,NYK,1997-03-13,29.37808219,NEW,NEW,Shamet signed a deal to return to the Knicks. He stepped up this year to play a decent role.
370,Marcus Sasser,PG/SG,DET -> DAL,2000-09-21,25.85129126,431,61,I was kind of out on Sasser before the Dallas trade. Now? I might be a liiiittle moved and will be watching this.
371,Precious Achiuwa,PF/C,SAC,1999-09-19,26.85753425,367,-4,Achiuwa is struggling to make it in the NBA. He's currently with Sacramento but already bounced around multiple teams this season.
372,Cam Thomas,SG,FA,2001-10-13,24.79178082,293,-79,"Thomas found his way out of the NBA pretty quickly after being waived by Brooklyn. Get ready to learn Chinese, buddy. "
373,Simone Fontecchio,SF/PF,MIA,1995-12-09,30.63561644,335,-38,"With the Heat's lack of depth, Fontecchio has a little something to tap into off the bench."
374,Jaxson Hayes,C,LAL -> UTA,2000-05-23,26.18189236,368,-6,Hayes and Walker Kessler basically swap spots. Hayes will be a backup big to Jusuf Nurkic. I'm hoping there's another trade coming here.
375,Myron Gardner,SF/PF,MIA,2001-05-21,25.1890411,430,55,The Heat always manage to find one of these guys who breaks the undrafted mold. Is Myron Gardner one? He's had some OK moments.
376,Corey Kispert,SG/SF,ATL,1999-03-03,27.40547945,319,-57,Corey Kispert is running out of time as an NBA player and I don't see much of a relevant role for him in Atlanta moving forward.
377,Gary Trent Jr.,SG/SF,MIL -> FA,1999-01-18,27.5260274,350,-27,The hope is that Gary Trent Jr. ends up on a decent team that gives him a one-year flier. He might be about done in the NBA.
378,Daeqwon Plowden,SG/SF,SAC,1998-08-29,27.91506849,NEW,NEW,"Plowden showed some real stuff for Sacramento, and I don't think it was just Silly Season stuff. "
379,Josh Green,SG/SF,CHA -> MIN,2000-11-16,25.6982858,389,10,"There is a chance Josh Green could play a meaningful role in Minnesota if there's injuries to their other wings, but he's essentially just a cardio guy with little to offer."
380,Jonas Valančiūnas,C,DEN -> FA,1992-05-06,34.22834044,339,-41,"There is a strong possibility that JV is leaving the NBA this or next year. If he stays, he remains a deep league hold for contenders as Jokic's backup."
381,Spencer Jones,SF/PF,DEN,2001-06-14,25.12328767,317,-64,"Spencer Jones is an innings eater (complimentary) and his fantasy output has been inconsistent, but he's playing a nice amount of minutes. Continuing to monitor him."
382,Jarred Vanderbilt,SF/PF/C,LAL,1999-04-03,27.32054795,392,10,"Vanderbilt is a way better IRL player than fantasy, and even then, he's not doing much on either front."
383,Mouhamed Gueye,PF/C,ATL,2002-11-09,23.71780822,306,-77,"Gueye has been a nerd favorite in years' past, but I don't see much for him moving forward unless he takes a jump or is traded."
384,Sion James,SG/SF,CHA,2002-12-04,23.64931507,332,-52,Charlotte has found a potential multi-year role player in Sion James. He's mostly an empty calories/innings eater type.
385,Jamal Cain,SG/SF,ORL,1999-03-20,27.35890411,447,62,Jamal Cain was genuinely very good for Orlando in the playoffs and has bought himself a few more years in the NBA as an energy guy.
386,Johni Broome,PF/C,PHI,2002-07-19,24.02739726,324,-62,"Broome was a brutal pick for Philly. Didn't like it at the time, makes it even worse as the 4th big behind Embiid, Bona and Hukporti. "
387,Terance Mann,SG/SF,BKN,1996-10-18,29.77752077,333,-54,Mann is one of the quintessential master of none who can do a couple things OK. Not much to say about him.
388,Zach Collins,PF/C,CHI,1997-11-19,28.69041096,407,19,"Zach Collins got himself another payday in Chicago, to my surprise. He'll be the third big behind Nic Claxton and Jalen Smith."
389,Jordan Clarkson,PG/SG,NYK,1992-06-07,34.14090875,384,-5,Clarkson played a role for New York this year and got rewarded with a multi-year contract.
390,Klay Thompson,SG/SF,DAL,1990-02-08,36.46849315,349,-41,Klay's time in the NBA is nearing its end after a career-worst year. He's just 74 away from overtaking Ray Allen with the 3rd most 3's all-time.
391,Pat Spencer,PG/SG,GSW -> PHO,1996-07-04,30.06713826,348,-43,"I love Spencer's landing spot in Phoenix, but can he get some run here with how deep their guard room is?"
392,Koby Brea,SG/SF,PHO,2002-11-06,23.7260274,396,4,"Koby Brea might be a role player that can't do a ton offensively, but he more than makes up for it as a pure 3PT specialist who's shot 43.4% from 3 in his CBB career."
393,Rocco Zikarsky,C,MIN,2006-07-11,19.2,345,-48,"Rocco needs a ton of time to keep developing, but early G League returns have been pretty good so far. I just don't know if he's ever a full-time NBA player."
394,Jericho Sims,C,MIL,1998-10-20,27.77260274,402,8,Jericho Sims is buried in Milwaukee and their weird depth chart. Don't see him ever being relevant again.
395,Charles Bassey,C,GSW,2000-10-28,25.75019837,NEW,NEW,He's baaaack. Bassey heads to Golden State where he could potentially snatch a role as a third big.
396,Ariel Hukporti,C,NYK -> PHI,2002-04-11,24.29863014,419,23,Hukporti heads to Philly to be the third big behind Joel Embiid and Adem Bona. He'll get some burn if Embiid gets hurt.
397,D'Angelo Russell,PG/SG,WAS -> MEM,1996-02-23,30.427794,353,-44,DLo is on what might be his last chance to keep the career and name recognition standing. He's been dumped to two different teams so far in 2026.
398,Ziaire Williams,SF/PF,BKN -> FA,2001-09-12,24.87671233,316,-82,"Ziaire's time in Brooklyn is coming to an end. The hope is someone desperate like the Lakers give him a shot and he finds a role, but I'm not sure it happens."
399,Jamaree Bouyea,PG/SG,PHO,1999-06-27,27.08767123,322,-77,"Bouyea is locked into the Suns for this next season. Phoenix has a lot of depth, but is there a possible Bouyea breakout here?"
400,Gary Payton II,PG/SG,GSW -> FA,1992-12-01,33.65730219,391,-9,We know what it is with GP2 at this point. Solid IRL rotation guy but he can't do much of anything for fantasy aside from the steals.
401,Jaden Ivey,PG/SG,FA,2002-02-13,24.45479452,292,-109,"After the whole Jaden Ivey debacle, the important thing is that he's healthy physically and mentally. A journey back into the NBA is possible."
402,Dalton Knecht,SG/SF,LAL,2001-04-19,25.27671233,373,-29,Knecht is arguably one of the worst players in the NBA and his career might be close to over at 25 (his second season).
403,Taurean Prince,SF/PF,MIL -> DET,1994-03-22,32.35342466,404,1,"Prince got traded to Detroit to clear up roster space in Milwaukee. Real chance he plays an actual, albeit small, role."
404,Kenrich Williams,PF,OKC,1994-12-02,31.65479452,439,35,"Kenny Hustle returns to OKC with the good vibes. End-of-bench guy at this point, but he's still got some juice."
405,Vince Williams Jr.,SG/SF/PF,FA,2000-08-30,25.91140055,343,-62,"Vince has had a tough run recently with the trade to Utah, tearing his ACL and getting waived. I'm still hopeful for him breaking back in when healthy."
406,Rayan Rupert,SG/SF,MEM -> PHI,2004-05-31,22.16003443,376,-30,Rupert showed some legit flashes at a lot of points in his career. Him and Caleb Love had good synergy in Portland. Could he be something here in Philly?
407,Nae'Qwan Tomlin,PF,CLE,2000-12-10,25.63271203,386,-21,Tomlin really impressed me at Summer League and is starting to break into CLE's rotation a bit. Keep an eye on him.
408,Micah Peavy,SG/SF,NOP,2001-07-16,24.8,378,-30,Peavy has some good role player stuff despite being a poor shooter/offensive player to date. Could be something to watch in deep leagues.
409,Dru Smith,SG,MIA,1997-12-30,28.57808219,435,26,"Not much to say here about Dru Smith. Can't shoot, can defend. Don't know how he fits into the equation in Miami."
410,Kam Jones,PG/SG,IND -> CHI - MIL,2002-02-25,24.42191781,307,-103,I think it's telling that Indiana was ready to move on from Kam Jones so fast. Milwaukee could be an interesting spot for him.
411,Alijah Martin,SG,TOR,2001-12-26,23.8,400,-11,"Martin is smaller and lacks a clear high-end NBA skill to make up for size, but his energy and pure athleticism is solid. He got himself a guaranteed deal this summer."
412,Jett Howard,SG/SF,ORL -> FA,2003-09-14,22.87123288,369,-43,"If you want to hold out any hope for another second team opportunity guy, maybe Jett Howard can be one. He's struggled to do anything for Orlando."
413,Caleb Martin,SG/SF,DAL,1995-09-28,30.83287671,420,7,"Caleb Martin has barely played and been bad when he has for Dallas. Another masterful gambit, Nico Harrison."
414,Mike Conley,PG/SG,MIN -> BOS,1987-10-11,38.79726027,395,-19,"Old Man Conley's still kicking, long after the NBA has moved on from his archetype. He ends up in Boston for (probably) one last ride."
415,Josh Okogie,SG/SF,HOU -> UTA,1998-09-01,24.8,434,19,An interesting move for Utah as Okogie heads out to SLC with a 2-year deal in hand. Good defender. Could we see him get any run?
416,Buddy Hield,SG/SF,ATL,1992-12-17,33.61358635,375,-41,Buddy is mega washed at this point. He shot poorly last season and looks like he has no chance to be anything but salary trade filler in ATL.
417,Matisse Thybulle,SG/SF,POR -> FA,1997-03-04,29.40273973,372,-45,We know who Matisse Thybulle as a defender. Remains to be seen if a contender picks him up.
418,Julian Reese,PF/C,WAS,2003-06-30,23.07945205,355,-63,Julian Reese has been a Silly Season hero with how he's played for Washington. Could he end up as a longer term deep bench guy?
419,Trendon Watford,PF/C,PHI -> FA,2000-11-09,25.71741148,359,-60,Watford has been a bench piece with occasional flashes this year. Nothing crazy but can pop off and has some good passing to his game.
420,Chaz Lanier,SG/SF,DET,2001-12-19,23.8,424,4,Lanier is a pretty meh fantasy player for me. Mostly will just be shooting 3s and not much else. He'll be a better IRL player than a fantasy player. 
421,Aaron Holiday,PG/SG,HOU,1996-09-30,29.8267011,NEW,NEW,"The guard room in Houston got pretty deep, but Aaron Holiday has managed to hang around for a bit."
422,Bronny James,SG,LAL,2004-10-06,21.81030766,399,-23,"Bronny's shown some occasional NBA stuff, but I don't see much for him. Guessing he's traded wherever LeBron goes."
423,Brooks Barnhizer,SG/SF,OKC,2002-03-02,23.6,370,-53,I think Brooks Barnhizer has shown some good fantasy appeal. I don't think he's got a big chance of being a full-time NBA player but there is something here.
424,Jahmai Mashack,SG/SF,MEM,2002-11-10,23.71506849,408,-16,Mashack is stuck and buried deep in Memphis. He definitely seems like he could be a legit NBA player.
425,Nick Richards,C,CHI -> FA,1997-11-29,28.6630137,362,-63,Nick Richards has flashed at different spots over the year. I think he's worth a spin on a one-year minimum.
426,Jaden Hardy,SG/SF,WAS -> LAL,2002-07-05,24.06575342,354,-72,"Jaden Hardy got sent to LA in the DeAndre Ayton. Before anyone asks: No, I don't think this is a diamond in the rough for the Lakers. "
427,Elijah Harkless,SG,UTA -> DET,2000-02-03,26.48243881,379,-48,I was shocked to find out that Elijah Harkless left Utah and signed a two-way deal with Detroit. He's a sleeper to watch.
428,Tre Mann,PG/SG,CHA,2001-02-03,25.48219178,358,-70,"Unfortunately, aura can't save your career. Tre Mann's full-time NBA career is pretty much done."
429,Kyle Anderson,SF/PF,MIN -> TOR,1993-09-20,32.85479452,409,-20,SloMo heads to Toronto as an end-of-bench piece. Not a ton left in the tank these days.
430,AJ Johnson,PG/SG,DAL -> MEM,2004-12-01,21.65730219,387,-43,"I hate giving up on players we've just barely seen play, but AJ Johnson is unlikely to ever be a full-time NBA player. He still has so much rawness to his game."
431,Javonte Green,SG/SF,DET,1993-07-23,33.01643836,412,-19,Green has played a small role for Detroit almost all year and looked OK doing so. Almost no upside here.
432,Ben Sheppard,SG/SF,IND,2001-07-16,25.03561644,357,-75,"Ben Sheppard has showed some stuff here and there for Indiana. Unfortunately, I don't think he's much more than an end-of-bench guy."
433,Cam Whitmore,SF,WAS,2004-07-08,22.0562093,329,-104,Whitmore fell out of favor in Washington this past year and was diagnosed with DVT. He'll have one last year to prove himself as an NBA player. 
434,Jonathan Mogbo,PF/C,TOR -> SAC,2001-10-29,24.74794521,380,-54,I had hopes for Jonathan Mogbo finding a role in the NBA despite being a funky fitting player. I don't see him being a full-time NBA player again. 
435,Ochai Agbaji,SG/SF,BKN -> FA,2000-04-20,26.27205629,374,-61,"Ochai isn't anything special on the court, but we might see him get a one-year minimum and contribute something. Might just be an end-of-bench or G Leaguer."
436,Quenton Jackson,PG/SG,IND,1998-09-15,27.86849315,401,-35,"Jackson has flashed plenty for Indiana over the years. Unfortunately, they're so deep at guard that Jackson is unlikely to ever get his fair shot here."
437,Thomas Bryant,C,CLE,1997-07-31,28.99452055,415,-22,"We know what it is with Thomas Bryant. Dude is not very good, but as a third big, sure, I guess. "
438,Pacome Dadiet,SF/PF,NYK,2005-07-27,21.00547945,377,-61,Pacome Dadiet has yet to show anything yet for the Knicks. The hope is he can be traded and show some signs of life.
439,Larry Nance Jr.,PF/C,CLE -> IND,1993-01-01,33.57260274,446,7,Nance heads to Indiana as just a likely locker room guy. Always wondering if he's got any of his vintage game left.
440,Svi Mykhailuk,SF/PF,UTA,1997-06-10,29.13424658,365,-75,"Svi has flashed pretty often for Utah in his time there, but with Utah gearing up in a big way, I don't see him playing much for them again."
441,Jonathan Isaac,SF/PF,ORL,1997-10-03,28.81917808,406,-35,Jonathan Isaac was waived and subsequently picked back up in Orlando on a cheap deal. Don't think there's much here.
442,Alex Toohey,SF/PF,GSW,2004-05-05,21.4,410,-32,"Toohey had a bad start to his NBA career following an ACL tear, but I still have hope he can be an NBA player."
443,Olivier Maxence-Prosper,SF/PF,MEM,2002-07-03,24.07123288,432,-11,OMax flashed some stuff this past season during Silly Season. Not sure he's ever going to be a full-time NBA guy.
444,Kris Murray,SF/PF,POR -> MEM,2000-08-19,25.9414552,397,-47,Murray was just in the Ja Morant trade to make the money work. I don't expect him to play much here (if at all).
445,Jalen Wilson,SF/PF,BKN -> FA,2000-11-04,25.73107269,416,-29,Jalen Wilson will be looking for a new team this summer after Brooklyn declined his QO. 
446,Lonzo Ball,PG/SG,FA,1997-10-27,28.75342466,356,-90,"Lonzo Ball might be done as an NBA player, unfortunately. He has a case for one of the worst players in the NBA playing real minutes last year."
447,Trayce Jackson-Davis,PF/C,TOR,2000-02-22,26.43052624,414,-33,TJD has fallen off the map this past year and barely played for either of Toronto or Golden State. Does he still have a shot to be an NBA player?
448,Taelon Peter,SG,IND,2002-02-27,23.6,440,-8,Taelon Peter hasn't shown much yet for the Pacers after snagging him in the late 2nd round in 2025. His shooting could get him some looks still.
449,Juan Nunez,PG,SAS,2004-06-04,22.14910547,444,-5,It remains to be seen if and when Nunez ever comes over. He has had some concerning knee injuries that I'm keeping an eye on.
450,Clint Capela,C,HOU,1994-05-18,32.19726027,394,-56,Clint Capela is mostly just an end-of-bench player at this point (which is wild to say). Not likely to be much in the NBA again.
